date,day_of_week,month,is_weekend,is_holiday,admissions,season
2023-09-02,5,9,1,0,112,4
2023-09-03,6,9,1,0,116,4
2023-09-04,0,9,0,1,120,4
2023-09-05,1,9,0,0,96,4
2023-09-06,2,9,0,0,94,4
2023-09-07,3,9,0,0,98,4
2023-09-08,4,9,0,0,95,4
2023-09-09,5,9,1,0,110,4
2023-09-10,6,9,1,0,114,4
2023-09-11,0,9,0,0,97,4
2023-09-12,1,9,0,0,95,4
2023-09-13,2,9,0,0,99,4
2023-09-14,3,9,0,0,96,4
2023-09-15,4,9,0,0,94,4
2023-09-16,5,9,1,0,109,4
2023-09-17,6,9,1,0,113,4
2023-09-18,0,9,0,0,96,4
2023-09-19,1,9,0,0,94,4
2023-09-20,2,9,0,0,98,4
2023-09-21,3,9,0,0,95,4
2023-09-22,4,9,0,0,93,4
2023-09-23,5,9,1,0,108,4
2023-09-24,6,9,1,0,112,4
2023-09-25,0,9,0,0,95,4
2023-09-26,1,9,0,0,93,4
2023-09-27,2,9,0,0,97,4
2023-09-28,3,9,0,0,94,4
2023-09-29,4,9,0,0,92,4
2023-09-30,5,9,1,0,107,4
2023-10-01,6,10,1,0,110,4
2023-10-02,0,10,0,0,93,4
2023-10-03,1,10,0,0,91,4
2023-10-04,2,10,0,0,95,4
2023-10-05,3,10,0,0,92,4
2023-10-06,4,10,0,0,90,4
2023-10-07,5,10,1,0,106,4
2023-10-08,6,10,1,0,110,4
2023-10-09,0,10,0,1,115,4
2023-10-10,1,10,0,0,89,4
2023-10-11,2,10,0,0,93,4
2023-10-12,3,10,0,0,90,4
2023-10-13,4,10,0,0,88,4
2023-10-14,5,10,1,0,104,4
2023-10-15,6,10,1,0,108,4
2023-10-16,0,10,0,0,91,4
2023-10-17,1,10,0,0,89,4
2023-10-18,2,10,0,0,93,4
2023-10-19,3,10,0,0,90,4
2023-10-20,4,10,0,0,88,4
2023-10-21,5,10,1,0,104,4
2023-10-22,6,10,1,0,108,4
2023-10-23,0,10,0,0,91,4
2023-10-24,1,10,0,0,89,4
2023-10-25,2,10,0,0,93,4
2023-10-26,3,10,0,0,90,4
2023-10-27,4,10,0,0,88,4
2023-10-28,5,10,1,0,105,4
2023-10-29,6,10,1,0,109,4
2023-10-30,0,10,0,0,92,4
2023-10-31,1,10,0,1,118,4
2023-11-01,2,11,0,0,85,1
2023-11-02,3,11,0,0,83,1
2023-11-03,4,11,0,0,87,1
2023-11-04,5,11,1,0,100,1
2023-11-05,6,11,1,0,104,1
2023-11-06,0,11,0,0,86,1
2023-11-07,1,11,0,0,84,1
2023-11-08,2,11,0,0,88,1
2023-11-09,3,11,0,0,85,1
2023-11-10,4,11,0,0,83,1
2023-11-11,5,11,1,1,115,1
2023-11-12,6,11,1,0,102,1
2023-11-13,0,11,0,0,85,1
2023-11-14,1,11,0,0,83,1
2023-11-15,2,11,0,0,87,1
2023-11-16,3,11,0,0,84,1
2023-11-17,4,11,0,0,82,1
2023-11-18,5,11,1,0,98,1
2023-11-19,6,11,1,0,102,1
2023-11-20,0,11,0,0,85,1
2023-11-21,1,11,0,0,83,1
2023-11-22,2,11,0,0,87,1
2023-11-23,3,11,0,1,112,1
2023-11-24,4,11,0,0,81,1
2023-11-25,5,11,1,0,97,1
2023-11-26,6,11,1,0,101,1
2023-11-27,0,11,0,0,84,1
2023-11-28,1,11,0,0,82,1
2023-11-29,2,11,0,0,86,1
2023-11-30,3,11,0,0,83,1
2023-12-01,4,12,0,0,88,1
2023-12-02,5,12,1,0,102,1
2023-12-03,6,12,1,0,106,1
2023-12-04,0,12,0,0,89,1
2023-12-05,1,12,0,0,87,1
2023-12-06,2,12,0,0,91,1
2023-12-07,3,12,0,0,88,1
2023-12-08,4,12,0,0,86,1
2023-12-09,5,12,1,0,102,1
2023-12-10,6,12,1,0,106,1
2023-12-11,0,12,0,0,89,1
2023-12-12,1,12,0,0,87,1
2023-12-13,2,12,0,0,91,1
2023-12-14,3,12,0,0,88,1
2023-12-15,4,12,0,0,86,1
2023-12-16,5,12,1,0,102,1
2023-12-17,6,12,1,0,106,1
2023-12-18,0,12,0,0,89,1
2023-12-19,1,12,0,0,87,1
2023-12-20,2,12,0,0,91,1
2023-12-21,3,12,0,0,88,1
2023-12-22,4,12,0,0,92,1
2023-12-23,5,12,1,0,108,1
2023-12-24,6,12,1,1,125,1
2023-12-25,0,12,0,1,130,1
2023-12-26,1,12,0,0,95,1
2023-12-27,2,12,0,0,93,1
2023-12-28,3,12,0,0,97,1
2023-12-29,4,12,0,0,94,1
2023-12-30,5,12,1,0,110,1
2023-12-31,6,12,1,1,128,1
